,id,title,popularity,release_date,vote_count,vote_average
0,1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,668.2088,2025-07-18,327,7.8
1,755898,War of the Worlds,486.9785,2025-07-29,568,4.371
2,987400,Aztec Batman: Clash of Empires,323.2756,2025-09-18,46,8.043
3,1007734,Nobody 2,269.0949,2025-08-13,629,7.2
4,1038392,The Conjuring: Last Rites,288.9608,2025-09-03,403,6.6
5,1028248,As Good as Dead,252.8346,2022-12-16,68,6.375
6,1078605,Weapons,263.252,2025-08-04,1518,7.4
7,1061474,Superman,241.294,2025-07-09,3274,7.487
8,914215,Humane,183.6861,2024-04-26,167,5.404
9,1035259,The Naked Gun,187.4038,2025-07-30,724,6.696
10,13494,Red Sonja,169.3086,2025-07-31,94,5.67
11,575265,Mission: Impossible - The Final Reckoning,165.9857,2025-05-17,1771,7.287
12,911430,F1,154.6109,2025-06-25,2142,7.827
13,1369679,Get Fast,142.6664,2024-12-12,25,6.24
14,1234821,Jurassic World Rebirth,149.2613,2025-07-01,2143,6.395
15,803796,KPop Demon Hunters,149.4476,2025-06-20,1465,8.313
16,1242011,Together,149.7179,2025-07-28,472,7.172
17,1087192,How to Train Your Dragon,146.8035,2025-06-06,1933,8.024
18,506763,Detective Dee: The Four Heavenly Kings,130.856,2018-07-27,199,6.226
19,1051486,Stockholm Bloodbath,127.0769,2024-01-19,33,6.333
20,691363,The Thing Behind The Door,113.5041,2023-01-16,22,5.524
21,1265344,Swiped,138.0468,2025-09-09,41,6.72
22,7451,xXx,125.5329,2002-08-09,4552,5.961
23,617126,The Fantastic 4: First Steps,108.3034,2025-07-23,1291,7.2
24,1119878,Ice Road: Vengeance,111.0485,2025-06-27,397,6.431
25,1175942,The Bad Guys 2,105.0807,2025-07-24,388,7.8
26,1151334,Eenie Meanie,93.306,2025-08-21,197,6.378
27,1382406,Striking Rescue,90.6036,2024-12-05,116,7.6
28,1188808,Tuhog,100.6832,2023-11-03,13,5.923
29,980477,Ne Zha 2,93.2063,2025-01-29,368,8.052
30,155,The Dark Knight,77.0404,2008-07-16,34410,8.523
31,552524,Lilo & Stitch,86.1142,2025-05-17,1623,7.28
32,604079,The Long Walk,89.9128,2025-09-10,119,7.277
33,1252428,Anaconda,79.6673,2024-03-01,99,7.253
34,1321439,The Wrong Paris,77.9296,2025-09-11,130,6.665
35,541671,Ballerina,77.0307,2025-06-04,1682,7.372
36,1022787,Elio,75.3153,2025-06-18,469,6.918
37,138843,The Conjuring,75.2058,2013-07-18,12186,7.54
38,1284120,The Ugly Stepsister,72.4556,2025-03-07,395,7.224
39,1367575,A Line of Fire,66.8703,2025-04-05,38,6.342
40,993234,Borders of Love,72.2182,2022-11-03,29,5.983
41,1125257,Freakier Friday,62.872,2025-08-06,184,6.845
42,660033,How I Became a Gangster,63.2194,2019-12-25,112,7.0
43,994682,Sexy Oral: Uwakina Kuchibiru,70.3494,1984-02-17,2,6.0
44,157336,Interstellar,76.5163,2014-11-05,37884,8.461
45,715287,Stepmom's Desire,67.086,2020-05-29,30,7.2
